610;Holiday Inn Leamington Spa / Warwick
612;Hotel Plaza Osaka
613;Nagoya Kanko Hotel
617;Holiday Inn South Burlington
621;Scenic Hotel Southern Cross
635;Monumental Movieland Hotel
645;Emperor Hotel
646;Hilton Newark Airport Hotel
650;Milan Marriott Hotel
652;Hotel Ca dei Conti
654;Ibis York Centre Hotel
658;Holiday Inn Basildon
663;Evergreen Laurel Hotel Keelung
664;Ise-Shima Royal Hotel
665;NH Eurobuilding
666;Han Hsien International Hotel
667;Holiday Inn Fisherman's Wharf
674;Sheraton Libertador Hotel
675;Gran Hotel Buenos Aires
684;The Bonham Hotel
688;Thon Hotel Opera
694;Coral Dubai Deira Hotel
695;pentahotel Leuven
697;Ningbo Nanyuan Hotel
701;Mercure Hotel Den Haag Central
702;Wyck Hill House Hotel & Spa
711;Queens Park Hotel
715;Best Western CTC Hotel Verona
717;Drake Longchamp Swiss Quality Hotel
718;Holiday Inn Coventry
719;The Franklin Hotel
723;Mercure Chester Abbots Well Hotel
724;Hotel Montparnasse Alesia
725;Novotel Paris Nord Expo Aulnay
727;Oasis Hotel
729;Novotel Praha Wenceslas Square Hotel
732;The Grand Hotel Kaohsiung
734;Le Meridien New Orleans
735;Best Western Hobart
742;Isrotel King Solomon Hotel
750;Radisson Hotel Phoenix Airport
765;Hotel Athena
776;Island Pacific Hotel
777;City Angkor Hotel
781;NH Viapol
783;Hilton Nagoya hotel
784;Ambassador Pallava Chennai Hotel
785;Pullman London St Pancras Hotel
786;Arcadia Hotel Heidelberg
791;NH Magdeburg
800;Leonardo Beach Tel Aviv
808;First Hotel Mayfair
813;Gran Melia Jakarta
817;Kyoto Hotel Okura
819;Crowne Plaza Hotel Columbus - Dublin
822;Hotel Pace Helvezia
824;Gloria Plaza Hotel Suzhou
827;Hotel Kavalier
828;Leonardo Hotel Hamburg City Nord
830;Anchorage Port Stephens
833;Kishu-Minabe Royal Hotel
835;Hampton Inn Boston Logan Airport
839;Drury Court Hotel
840;City Hotel
841;Mercure Sydney International Airport Hotel
844;Karatsu Royal Hotel
845;Jaypee Palace Hotel & International Convention Centre
851;Chateau Hotel Grand Barrail
853;Holiday Inn Hamburg
858;Urban Dream Granada Hotel
859;Miyazu Royal Hotel, Amanohashidate
861;Rilano 24/7 Munich Hotel
864;Nihal Palace Hotel
866;Savoy Hotel
867;Holiday Inn Prague Congress Centre
868;Mercure Salzburg City Hotel
871;Hotel Sailer
872;Hilton Mainz City
873;Marriott Amman Hotel
879;Best Western PLUS Cedar Bluff Inn
887;Mercure Lyon Lumiåère
888;Four Points by Sheraton Columbus Polaris
896;Shelburne NYC-an Affinia Hotel
902;Lotte Legend Hotel Saigon
903;Thistle Euston Hotel
910;Park Hyatt Tokyo
914;Holiday Inn Hotel Port of Miami-Downtown
915;Hotel Napoleon
916;Mercure Welcome Melbourne
920;Parliament House Hotel
922;Excelsior Hotel Gallia a Luxury Collection Hotel Milan
931;Doubletree Grand Hotel Biscayne Bay
934;Crowne Plaza Hotel Brugge
937;Novum Hotel MåÙnchen Ìê Am Hauptbahnhof
943;Plaza International Hotel
944;Amare Marbella Beach Hotel
950;Le Meridien Jakarta Hotel
954;NH Torino Lingotto Congress
958;Hotel Adlon Kempinski
967;Hotel Mozart
968;Sheraton Essen Hotel
970;South Pacific Hotel
973;Novotel Katowice Centrum
974;Mantra Legends Hotel
978;Hotel Nassim
986;Grand Hotel Brno
987;Roda Al Bustan Hotel
989;Novotel Eindhoven
991;Villa Santi Resort & Spa
995;Discovery Kartika Plaza Hotel
996;Lampang River Lodge Hotel
1001;Hotel Grand Chancellor Melbourne
1005;Hotel Eden - Dorchester Collection
1007;PARKROYAL on Kitchener Road Singapore
1012;America Barcelona Hotel
1014;Handels Hotel Temple Bar
1017;Hotel Bel Ami
1018;Hilton Heathrow Airport
1025;Nh Luz Huelva Hotel
1027;Scenic Hotel Auckland
1032;Hotel Front Maritim
1044;Hotel Franklin Feel the Sound
1045;Hotel 81 Palace
1046;Amba Hotel Marble Arch
1051;Jinling Mansion Nanjing
1055;Hotel Mercure Marseille Centre Vieux Port
1056;J5 Hotels Port Saeed
1061;Quality Inn & Suites Golf Resort
1062;Krungsri River Hotel
1063;Best Western Hotel Le Montmartre Saint Pierre
1065;Dunkeld House Hotel
1070;Novotel London West Hotel
